Артикул;Название;Описание;Цена;Валюта;Бренд;Картинка;Категория
THERM-FGT100;Термостат FGT100;N.C. / Обогрев /Диапозон температур -10 ... +50/;18;EUR;DBK;/upload/complect/therm-1.png;Термостаты
THERM-FGT102;Термостат FGT102;N.C. / Обогрев /Диапозон температур -20 ... +40;18;EUR;DBK;/upload/complect/therm-1.png;Термостаты
THERM-FGT200;Термостат FGT200;N.O.  / Охлождение /Диапозон температур   0 ... +60;18;EUR;DBK;/upload/complect/therm-2.png;Термостаты
THERM-TBT-NC;Термостат TBT-NC;N.C. / Обогрев /Диапозон температур -0 ... +60/;15;EUR;DBK;/upload/complect/therm-3.png;Термостаты
THERM-TBT-NO;Термостат TBT-NO;N.O.  / Охлождение /Диапозон температур   0 ... +60;15;EUR;DBK;/upload/complect/therm-3.png;Термостаты
THERM-TDM-NO;"
Термостат NO (охлаждение) 2А 230В TDM";Термостат NO (охлаждение) 2А 230В TDMSQ0832-0019 ;9;EUR;TDM;/upload/complect/therm-4.png;Термостаты
THERM-TDM-NC;"
Термостат NС (обогрев) 10А 230В TDM";Термостат NС (обогрев) 10А 230В TDMSQ0832-0020;9;EUR;TDM;/upload/complect/therm-4.png;Термостаты
NIMB-D65-30;Nimbus D65, 30 W;110-240V;25;EUR;DBK;/upload/complect/nimb-1.png;Нагреватели
NIMB-D65-50;Nimbus D65, 50 W;110-240V;27;EUR;DBK;/upload/complect/nimb-1.png;Нагреватели
NIMB-D95-40;Nimbus D95, 40 W;110-240V;27;EUR;DBK;/upload/complect/nimb-1.png;Нагреватели
NIMB-D95-60;Nimbus D95, 60 W;110-240V;30;EUR;DBK;/upload/complect/nimb-1.png;Нагреватели
NIMB-D125-50;Nimbus D125, 50 W;110-240V;35;EUR;DBK;/upload/complect/nimb-1.png;Нагреватели
NIMB-D125-75;Nimbus D125, 75 W;110-240V;35;EUR;DBK;/upload/complect/nimb-1.png;Нагреватели
NIMB-D175-80;Nimbus D175, 80 W;110-240V;38;EUR;DBK;/upload/complect/nimb-1.png;Нагреватели
NIMB-D175-100;Nimbus D175, 100 W;110-240V;39;EUR;DBK;/upload/complect/nimb-1.png;Нагреватели
NIMB-D175-150;Nimbus D175, 150 W;110-240V;42;EUR;DBK;/upload/complect/nimb-1.png;Нагреватели
K-RIT-8;Комплект крепления на стену (расстояние от стены 8 мм) K-RIT-8;Комплект крепления на стену (расстояние от стены 8 мм);560;RUB;;/upload/complect/crepl-1.png;Крепления на стену
K-RIT-8;Комплект крепления на стену (расстояние от стены 15 мм) K-RIT-8;Комплект крепления на стену (расстояние от стены 15 мм);890;RUB;;/upload/complect/crepl-2.png;Крепления на стену
MK-22;Комплект крепления на мачту D=22мм MK-22;Комплект крепления на мачту D=22мм;545;RUB;;/upload/complect/crepl-3.png;Крепления на мачту
MK-28;Комплект крепления на мачту D=28мм MK-28;Комплект крепления на мачту D=28мм;585;RUB;;/upload/complect/crepl-3.png;Крепления на мачту
MK-35;Комплект крепления на мачту D=35мм MK-35;Комплект крепления на мачту D=35мм;695;RUB;;/upload/complect/crepl-3.png;Крепления на мачту
MK-45;Комплект крепления на мачту D=45мм MK-45;Комплект крепления на мачту D=45мм;765;RUB;;/upload/complect/crepl-3.png;Крепления на мачту
MK-50;Комплект крепления на мачту D=50мм MK-50;Комплект крепления на мачту D=50мм;895;RUB;;/upload/complect/crepl-3.png;Крепления на мачту
MK-61;Комплект крепления на мачту D=61мм MK-61;Комплект крепления на мачту D=61мм;950;RUB;;/upload/complect/crepl-3.png;Крепления на мачту
MK-78;Комплект крепления на мачту D=78мм MK-78;Комплект крепления на мачту D=78мм;1150;RUB;;/upload/complect/crepl-3.png;Крепления на мачту
MK-92;Комплект крепления на мачту D=92мм MK-92;Комплект крепления на мачту D=92мм;1175;RUB;;/upload/complect/crepl-3.png;Крепления на мачту
MK-116;Комплект крепления на мачту D=116мм MK-116;Комплект крепления на мачту D=116мм;1250;RUB;;/upload/complect/crepl-3.png;Крепления на мачту
MK-142;Комплект крепления на мачту D=142мм MK-142;Комплект крепления на мачту D=142мм;1280;RUB;;/upload/complect/crepl-3.png;Крепления на мачту
MK-170;Комплект крепления на мачту D=170мм MK-170;Комплект крепления на мачту D=170мм;1350;RUB;;/upload/complect/crepl-3.png;Крепления на мачту
MK-222;Комплект крепления на мачту D=222мм MK-222;Комплект крепления на мачту D=222мм;1450;RUB;;/upload/complect/crepl-3.png;Крепления на мачту
MK-RIT(40-190);Комплект крепления на мачту D=40-190мм MK-RIT(40-190);Комплект крепления на мачту D=40-190мм;5040;RUB;;/upload/complect/crepl-4.png;Крепления на мачту
KAT 3U;Кронштейн телекоммуникационный KAT 3U;Кронштейн телекоммуникационный настенный 3U, регулируемая глубина 300-450 мм (ШхВхГ 512х140х450);1430;RUB;;/upload/complect/kron-1.png;"Кронштейны телекоммуникационные 19"""
KAT 6U;Кронштейн телекоммуникационный KAT 6U;Кронштейн телекоммуникационный настенный 6U, регулируемая глубина 300-450 мм (ШхВхГ 512х274х450);1950;RUB;;/upload/complect/kron-1.png;"Кронштейны телекоммуникационные 19"""
KAT 9U;Кронштейн телекоммуникационный KAT 9U;Кронштейн телекоммуникационный настенный 9U, регулируемая глубина 300-450 мм (ШхВхГ 512х407х450);2340;RUB;;/upload/complect/kron-1.png;"Кронштейны телекоммуникационные 19"""
KAT 12U;Кронштейн телекоммуникационный KAT 12U;Кронштейн телекоммуникационный настенный 12U, регулируемая глубина 300-450 мм(ШхВхГ 512х540х450);2990;RUB;;/upload/complect/kron-1.png;"Кронштейны телекоммуникационные 19"""
OSN-1-600;Основание напольное ОНШ-1-600;Основание напольное для уличного размещения шкафов шириной до 600мм ОНШ-1-600;15400;RUB;;/upload/complect/osn-1.png;Основание напольное
OSN-1-800;Основание напольное ОНШ-1-800;Основание напольное для уличного размещения шкафов шириной до 600мм ОНШ-1-800;18518;RUB;;/upload/complect/osn-1.png;Основание напольное
МС -15;Полка перфорированная консольная МС -15;"Полка 10"" перфорированная консольная, 1U высота,глубина 150мм";435;RUB;;/upload/complect/consol-1.png;Полки консольные
МС -20;Полка перфорированная консольная МС -20;" Полка 19"" перфорированная консольная, 2U высота, глубина 200мм";565,5;RUB;;/upload/complect/consol-1.png;Полки консольные
МС-30;Полка перфорированная консольная МС-30;" Полка 19"" перфорированная консольная, 2U высота, глубина 300мм";689;RUB;;/upload/complect/consol-1.png;Полки консольные
МС -40;Полка перфорированная консольная МС -40;" Полка 19"" перфорированная консольная, 2U высота, глубин  400мм";819;RUB;;/upload/complect/consol-1.png;Полки консольные
МС-40-9005;Полка перфорированная консольная МС-40-9005;" Полка 19"" перфорированная консольная черная, 2U высота, глубин  400мм";871;RUB;;/upload/complect/consol-1.png;Полки консольные
TK-01-35;TK01.35, Ручка дверная, L-122mm H-38mm (полиамид);TK01.35, Ручка дверная, L-122mm H-38mm (полиамид);;;;/upload/complect/ruchka-1.png;Ручки дверные
TK-02-200;TK02.200, Ручка для шкафа L-200 mm H-55 mm;TK02.200, Ручка для шкафа, алюминий и пластик, L-200 mm H-55 mm;;;;/upload/complect/ruchka-2.png;Ручки дверные
TK-02-300;TK02.300, Ручка для шкафа L-300 mm H-55 mm;TK02.300, Ручка для шкафа, алюминий и пластик, L-300 mm H-55 mm;;;;/upload/complect/ruchka-2.png;Ручки дверные
TK-02-400;TK02.400, Ручка для шкафа L-400 mm H-55 mm;TK02.400, Ручка для шкафа, алюминий и пластик, L-400 mm H-55 mm;;;;/upload/complect/ruchka-2.png;Ручки дверные
TK-02-500;TK02.500, Ручка для шкафа L-500 mm H-55 mm;TK02.500, Ручка для шкафа, алюминий и пластик, L-500 mm H-55 mm;;;;/upload/complect/ruchka-2.png;Ручки дверные
