IE_CODE;IE_XML_ID;Артикул;Название;Описание;Цена;Валюта;Бренд;Картинка1;Картинка2;Картинка3;Надкатегория;Категория;ID категории
THERM-FGT100;THERM-FGT100;THERM-FGT100;Термостат FGT100;N.C. / Обогрев /Диапозон температур -10 ... +50/;18;EUR;DBK;/upload/complect/therm-1.png;/upload/complect/therm-1.png;/upload/complect/therm-1.png;Аксессуары для термошкафов;Термостаты;37
THERM-FGT102;THERM-FGT102;THERM-FGT102;Термостат FGT102;N.C. / Обогрев /Диапозон температур -20 ... +40;18;EUR;DBK;/upload/complect/therm-1.png;/upload/complect/therm-1.png;/upload/complect/therm-1.png;Аксессуары для термошкафов;Термостаты;37
THERM-FGT200;THERM-FGT200;THERM-FGT200;Термостат FGT200;N.O.  / Охлождение /Диапозон температур   0 ... +60;18;EUR;DBK;/upload/complect/therm-2.png;/upload/complect/therm-2.png;/upload/complect/therm-2.png;Аксессуары для термошкафов;Термостаты;37
THERM-TBT-NC;THERM-TBT-NC;THERM-TBT-NC;Термостат TBT-NC;N.C. / Обогрев /Диапозон температур -0 ... +60/;15;EUR;DBK;/upload/complect/therm-3.png;/upload/complect/therm-3.png;/upload/complect/therm-3.png;Аксессуары для термошкафов;Термостаты;37
THERM-TBT-NO;THERM-TBT-NO;THERM-TBT-NO;Термостат TBT-NO;N.O.  / Охлождение /Диапозон температур   0 ... +60;15;EUR;DBK;/upload/complect/therm-3.png;/upload/complect/therm-3.png;/upload/complect/therm-3.png;Аксессуары для термошкафов;Термостаты;37
THERM-TDM-NO;THERM-TDM-NO;THERM-TDM-NO;Термостат NO (охлаждение) 2А 230В TDM;Термостат NO (охлаждение) 2А 230В TDMSQ0832-0019 ;9;EUR;TDM;/upload/complect/therm-4.png;/upload/complect/therm-4.png;/upload/complect/therm-4.png;Аксессуары для термошкафов;Термостаты;37
THERM-TDM-NC;THERM-TDM-NC;THERM-TDM-NC;Термостат NС (обогрев) 10А 230В TDM;Термостат NС (обогрев) 10А 230В TDMSQ0832-0020;9;EUR;TDM;/upload/complect/therm-4.png;/upload/complect/therm-4.png;/upload/complect/therm-4.png;Аксессуары для термошкафов;Термостаты;37
NIMB-D65-30;NIMB-D65-30;NIMB-D65-30;Nimbus D65, 30 W;110-240V;25;EUR;DBK;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;Аксессуары для термошкафов;Нагреватели;50
NIMB-D65-50;NIMB-D65-50;NIMB-D65-50;Nimbus D65, 50 W;110-240V;27;EUR;DBK;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;Аксессуары для термошкафов;Нагреватели;50
NIMB-D95-40;NIMB-D95-40;NIMB-D95-40;Nimbus D95, 40 W;110-240V;27;EUR;DBK;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;Аксессуары для термошкафов;Нагреватели;50
NIMB-D95-60;NIMB-D95-60;NIMB-D95-60;Nimbus D95, 60 W;110-240V;30;EUR;DBK;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;Аксессуары для термошкафов;Нагреватели;50
NIMB-D125-50;NIMB-D125-50;NIMB-D125-50;Nimbus D125, 50 W;110-240V;35;EUR;DBK;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;Аксессуары для термошкафов;Нагреватели;50
NIMB-D125-75;NIMB-D125-75;NIMB-D125-75;Nimbus D125, 75 W;110-240V;35;EUR;DBK;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;Аксессуары для термошкафов;Нагреватели;50
NIMB-D175-80;NIMB-D175-80;NIMB-D175-80;Nimbus D175, 80 W;110-240V;38;EUR;DBK;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;Аксессуары для термошкафов;Нагреватели;50
NIMB-D175-100;NIMB-D175-100;NIMB-D175-100;Nimbus D175, 100 W;110-240V;39;EUR;DBK;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;Аксессуары для термошкафов;Нагреватели;50
NIMB-D175-150;NIMB-D175-150;NIMB-D175-150;Nimbus D175, 150 W;110-240V;42;EUR;DBK;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;/upload/complect/nimb-1.png;Аксессуары для термошкафов;Нагреватели;50
K-RIT-8;K-RIT-8;K-RIT-8;Комплект крепления на стену (расстояние от стены 8 мм) K-RIT-8;Комплект крепления на стену (расстояние от стены 8 мм);560;RUB;;/upload/complect/crepl-1.png;/upload/complect/crepl-1.png;/upload/complect/crepl-1.png;Аксессуары для термошкафов;Крепления на стену;48
