IE_XML_ID	IE_NAME	IE_ID	IE_ACTIVE	IE_ACTIVE_FROM	IE_ACTIVE_TO	IE_PREVIEW_PICTURE	IE_PREVIEW_TEXT	IE_PREVIEW_TEXT_TYPE	IE_DETAIL_PICTURE	IE_DETAIL_TEXT	IE_DETAIL_TEXT_TYPE	IE_CODE	IE_SORT	IE_TAGS	IP_PROP85	IP_PROP95	IP_PROP96	IP_PROP97	IP_PROP43	IP_PROP44	IP_PROP45	IP_PROP46	IP_PROP47	IP_PROP50	IP_PROP107	IP_PROP59	IP_PROP105	IP_PROP102	IP_PROP99	IP_PROP130	IP_PROP124	IP_PROP114	IP_PROP134	IP_PROP132	IP_PROP139	IP_PROP110	IP_PROP98	IP_PROP51	IP_PROP111	IP_PROP106	IP_PROP60	IP_PROP137	IP_PROP127	IP_PROP129	IP_PROP135	IP_PROP136	IP_PROP126	IP_PROP128	IP_PROP112	IP_PROP100	IP_PROP131	IP_PROP103	IP_PROP101	IP_PROP104	IP_PROP52	IP_PROP93	IP_PROP125	IP_PROP133	IP_PROP138	IP_PROP108	IC_GROUP0	IC_GROUP1	IC_GROUP2
56460	"Термошкаф антивандальный 19"" 9U ARM6047600-168"	56460	Y					text	/upload/iblock/2cd/2cd1ad4c56032abc09b82f1038fce706.jpg		html	arm19-6047600_168	500			600	470	600	itprom	да	да		arm19-6047600_168			724						9							IP31																64598						Антивандальные термошкафы ITProm		
56460	"Термошкаф антивандальный 19"" 9U ARM6047600-168"	56460	Y					text	/upload/iblock/2cd/2cd1ad4c56032abc09b82f1038fce706.jpg		html	arm19-6047600_168	500			600	470	600	itprom	да	да		arm19-6047600_168			724						9							IP31																64594						Антивандальные термошкафы ITProm		
56460	"Термошкаф антивандальный 19"" 9U ARM6047600-168"	56460	Y					text	/upload/iblock/2cd/2cd1ad4c56032abc09b82f1038fce706.jpg		html	arm19-6047600_168	500			600	470	600	itprom	да	да		arm19-6047600_168			724						9							IP31																64611						Антивандальные термошкафы ITProm		
56460	"Термошкаф антивандальный 19"" 9U ARM6047600-168"	56460	Y					text	/upload/iblock/2cd/2cd1ad4c56032abc09b82f1038fce706.jpg		html	arm19-6047600_168	500			600	470	600	itprom	да	да		arm19-6047600_168			724						9							IP31																64612						Антивандальные термошкафы ITProm		
56460	"Термошкаф антивандальный 19"" 9U ARM6047600-168"	56460	Y					text	/upload/iblock/2cd/2cd1ad4c56032abc09b82f1038fce706.jpg		html	arm19-6047600_168	500			600	470	600	itprom	да	да		arm19-6047600_168			724						9							IP31																64625						Антивандальные термошкафы ITProm		
56460	"Термошкаф антивандальный 19"" 9U ARM6047600-168"	56460	Y					text	/upload/iblock/2cd/2cd1ad4c56032abc09b82f1038fce706.jpg		html	arm19-6047600_168	500			600	470	600	itprom	да	да		arm19-6047600_168			724						9							IP31																64607						Антивандальные термошкафы ITProm		
56460	"Термошкаф антивандальный 19"" 9U ARM6047600-168"	56460	Y					text	/upload/iblock/2cd/2cd1ad4c56032abc09b82f1038fce706.jpg		html	arm19-6047600_168	500			600	470	600	itprom	да	да		arm19-6047600_168			724						9							IP31																64608						Антивандальные термошкафы ITProm		
56460	"Термошкаф антивандальный 19"" 9U ARM6047600-168"	56460	Y					text	/upload/iblock/2cd/2cd1ad4c56032abc09b82f1038fce706.jpg		html	arm19-6047600_168	500			600	470	600	itprom	да	да		arm19-6047600_168			724						9							IP31																64617						Антивандальные термошкафы ITProm		
56461	"Термошкаф антивандальный 19"" 12U ARM6060600-168"	56461	Y					text	/upload/iblock/5c8/5c81455b42b5726458011be69261a0f7.jpg		html	arm19-6060600_168	500			600	600	600	itprom	да	да		arm19-6060600_168			730						12							IP31																						Антивандальные термошкафы ITProm		
56462	"Термошкаф антивандальный 19"" 9U ARM6047450-168"	56462	Y					text	/upload/iblock/862/86204b78a88d9baa19cc18a00d827278.jpg		html	arm19-6047450_168	500			600	470	450	itprom	да	да		arm19-6047450_168			725						9							IP31																						Антивандальные термошкафы ITProm		
